"Watershed","Site","Date","Time","DO","Temp","pH","Cond","Turb","TSS","DRP","Cl","NO3_N","SO4","E_coli"
"Indian Creek","ICLM",2011-05-11,0.459027777777778,NA,NA,NA,NA,NA,5.2,0.031,8.3,5.1,12.17,1334
"Indian Creek","ICS",2011-05-11,0.409722222222222,NA,NA,NA,NA,NA,4,0.008,14.76,2.63,16.82,52
"Indian Creek","ICThom",2011-05-11,0.444444444444444,NA,NA,NA,NA,NA,2,0.015,9.9,3.7,13.85,369
"Bear","Bear",2011-05-12,0.395833333333333,NA,NA,NA,NA,NA,5.6,0.081,5.58,5.46,13.45,408
"Blue","Blue",2011-05-12,0.448611111111111,NA,NA,NA,NA,NA,5.6,0.049,11.34,4.49,13.05,241
"Morgan","Morgan",2011-05-12,0.383333333333333,NA,NA,NA,NA,NA,NA,0.054,15.02,5.56,18.38,246
"Mud","Mud",2011-05-12,0.472916666666667,NA,NA,NA,NA,NA,6.4,0.204,6.89,7.55,17.69,97
"North Bear","North Bear",2011-05-12,0.493055555555556,NA,NA,NA,NA,NA,0.4,0.02,7.73,8.73,12.17,231
"Otter","Otter",2011-05-12,0.422222222222222,NA,NA,NA,NA,NA,0.4,0.029,9.18,4.78,12.61,487
"Lime","Lime",2011-05-16,0.494444444444444,NA,NA,NA,NA,NA,0.8,0.016,NA,NA,NA,110
"Lime","Lime240",2011-05-16,0.423611111111111,NA,NA,NA,NA,NA,0.8,0.026,NA,NA,NA,52
"Lime","Lime250",2011-05-16,0.436805555555556,NA,NA,NA,NA,NA,1.6,0.025,NA,NA,NA,63
"Lime","Lime290",2011-05-16,0.447916666666667,NA,NA,NA,NA,NA,1.6,0.023,NA,NA,NA,230
"Lime","LimeFin",2011-05-16,0.480555555555556,NA,NA,NA,NA,NA,1.2,0.007,NA,NA,NA,160
"Lime","LimeHam",2011-05-16,0.460416666666667,NA,NA,NA,NA,NA,2,0.022,NA,NA,NA,86
"Indian Creek","Dry",2011-05-18,0.439583333333333,NA,NA,NA,NA,NA,0.8,0.05,23.84,5.03,21.85,132
"Indian Creek","ICLM",2011-05-18,0.426388888888889,NA,NA,NA,NA,NA,1.2,0.053,19.67,9.51,17.53,323
"Indian Creek","ICS",2011-05-18,0.405555555555556,NA,NA,NA,NA,NA,0.4,0.031,28.72,4.7,23.18,52
"Indian Creek","ICThom",2011-05-18,0.448611111111111,NA,NA,NA,NA,NA,2,0.042,22.49,7.2,19.84,295
"McLoud Run","MCJ",2011-05-18,0.367361111111111,NA,NA,NA,NA,NA,NA,0.079,68.55,2.07,43.43,134
"Bear","Bear",2011-05-19,0.392361111111111,NA,NA,NA,NA,NA,5.6,0.147,10.63,7.81,14.5,6131
"Blue","Blue",2011-05-19,0.434027777777778,NA,NA,NA,NA,NA,2,0.07,15.3,5.97,15.17,134
"Morgan","Morgan",2011-05-19,0.375694444444444,NA,NA,NA,NA,NA,4,0.07,20.09,6.28,19.81,311
"Mud","Mud",2011-05-19,0.460416666666667,NA,NA,NA,NA,NA,6,0.191,10.92,8.88,18.58,292
"North Bear","North Bear",2011-05-19,0.484027777777778,NA,NA,NA,NA,NA,2.4,0.02,11.93,10.55,13,209
"Otter","Otter",2011-05-19,0.411805555555556,NA,NA,NA,NA,NA,1.6,0.04,13.51,5.82,14.77,315
"Lime","Lime",2011-05-23,0.450694444444444,NA,NA,NA,NA,NA,0.4,0.034,12.67,9.01,11.43,NA
"Lime","Lime240",2011-05-23,0.388888888888889,NA,NA,NA,NA,NA,3.6,0.03,16.71,10.57,10.73,84
"Lime","Lime250",2011-05-23,0.402083333333333,NA,NA,NA,NA,NA,3.2,0.038,15.06,10.46,10.2,NA
"Lime","Lime290",2011-05-23,0.416666666666667,NA,NA,NA,NA,NA,1.6,0.026,13.66,11.13,10.25,NA
"Lime","LimeFin",2011-05-23,0.438888888888889,NA,NA,NA,NA,NA,0.8,0.013,12.88,9.63,10.77,NA
"Lime","LimeHam",2011-05-23,0.425694444444444,NA,NA,NA,NA,NA,2,0.035,12.61,14.04,9.14,262
"Indian Creek","Dry",2011-05-25,0.460416666666667,NA,NA,NA,NA,NA,168,0.233,6.09,2.78,7.33,1401
"Indian Creek","ICLM",2011-05-25,0.445138888888889,NA,NA,NA,NA,NA,522,0.497,10.44,7,19.89,4106
"Indian Creek","ICS",2011-05-25,0.407638888888889,NA,NA,NA,NA,NA,158,0.158,14.95,1.27,9.78,410
"Indian Creek","ICThom",2011-05-25,0.425,NA,NA,NA,NA,NA,234,0.259,5.49,2.7,7.7,1722
"McLoud Run","MCJ",2011-05-25,0.380555555555556,NA,NA,NA,NA,NA,46,0.167,23.66,NA,8.18,591
"Bear","Bear",2011-05-26,0.371527777777778,NA,NA,NA,NA,NA,129.33,0.313,8.54,12.33,10.85,7270
"Blue","Blue",2011-05-26,0.427777777777778,NA,NA,NA,NA,NA,19,0.123,16.27,9.34,12.22,3784
"Morgan","Morgan",2011-05-26,0.354861111111111,NA,NA,NA,NA,NA,65.6,0.214,19.38,10.91,15.42,1616
"Mud","Mud",2011-05-26,0.450694444444444,NA,NA,NA,NA,NA,57,0.199,9.41,11.91,13.9,2723
"North Bear","North Bear",2011-05-26,0.470138888888889,NA,NA,NA,NA,NA,27,0.134,12.36,16.69,9.12,7215
"Otter","Otter",2011-05-26,0.405555555555556,NA,NA,NA,NA,NA,52,0.232,12.7,14.08,9.66,2603
"Lime","Lime",2011-05-31,0.482638888888889,NA,NA,NA,NA,NA,8,0.22,17.3,14.95,11.64,789
"Lime","Lime240",2011-05-31,0.414583333333333,NA,NA,NA,NA,NA,9.2,0.182,19.98,14.52,11.52,512
"Lime","Lime250",2011-05-31,0.427083333333333,NA,NA,NA,NA,NA,6.8,0.161,19.02,14.6,11.28,594
"Lime","Lime290",2011-05-31,0.443055555555556,NA,NA,NA,NA,NA,5.6,0.192,18.08,16.7,10.97,459
"Lime","LimeFin",2011-05-31,0.466666666666667,NA,NA,NA,NA,NA,10.8,0.202,17.43,15.66,11.25,2143
"Lime","LimeHam",2011-05-31,0.452777777777778,NA,NA,NA,NA,NA,9.6,0.183,16.25,20.26,9.32,201
"Indian Creek","Dry",2011-06-01,0.456944444444444,NA,NA,NA,NA,NA,27.2,0.209,27.14,9.22,20.13,388
