"Site","Date","Time","DO","Temp","pH","Cond","Turb","TSS","DRP","Cl","NO3-N","SO4","E coli"
"ICLM","40674","0.45902777777777798",NA,NA,NA,NA,NA,"5.2","3.1E-2","8.3000000000000007","5.0999999999999996","12.17","1334"
"ICS","40674","0.40972222222222199",NA,NA,NA,NA,NA,"4","8.0000000000000002E-3","14.76","2.63","16.82","52"
"ICThom","40674","0.44444444444444398",NA,NA,NA,NA,NA,"2","1.4999999999999999E-2","9.9","3.7","13.85","369"
"Bear","40675","0.39583333333333298",NA,NA,NA,NA,NA,"5.6","8.1000000000000003E-2","5.58","5.46","13.45","408"
"Blue","40675","0.44861111111111102",NA,NA,NA,NA,NA,"5.6","4.9000000000000002E-2","11.34","4.49","13.05","241"
"Morgan","40675","0.38333333333333303",NA,NA,NA,NA,NA,"BDL","5.3999999999999999E-2","15.02","5.56","18.38","246"
"Mud","40675","0.47291666666666698",NA,NA,NA,NA,NA,"6.4","0.20399999999999999","6.89","7.55","17.690000000000001","97"
"NBear","40675","0.49305555555555602",NA,NA,NA,NA,NA,"0.4","0.02","7.73","8.73","12.17","231"
"Otter","40675","0.422222222222222",NA,NA,NA,NA,NA,"0.4","2.9000000000000001E-2","9.18","4.78","12.61","487"
"Lime","40679","0.49444444444444402",NA,NA,NA,NA,NA,"0.8","1.6E-2","NA","NA","NA","110"
"Lime240","40679","0.42361111111111099",NA,NA,NA,NA,NA,"0.8","2.5999999999999999E-2","NA","NA","NA","52"
"Lime250","40679","0.436805555555556",NA,NA,NA,NA,NA,"1.6","2.5000000000000001E-2","NA","NA","NA","63"
"Lime290","40679","0.44791666666666702",NA,NA,NA,NA,NA,"1.6","2.3E-2","NA","NA","NA","230"
"LimeFin","40679","0.48055555555555601",NA,NA,NA,NA,NA,"1.2","7.0000000000000001E-3","NA","NA","NA","160"
"LimeHam","40679","0.46041666666666697",NA,NA,NA,NA,NA,"2","2.1999999999999999E-2","NA","NA","NA","86"
"Dry","40681","0.43958333333333299",NA,NA,NA,NA,NA,"0.8","0.05","23.84","5.03","21.85","132"
"ICLM","40681","0.42638888888888898",NA,NA,NA,NA,NA,"1.2","5.2999999999999999E-2","19.670000000000002","9.51","17.53","323"
"ICS","40681","0.405555555555556",NA,NA,NA,NA,NA,"0.4","3.1E-2","28.72","4.7","23.18","52"
"ICThom","40681","0.44861111111111102",NA,NA,NA,NA,NA,"2","4.2000000000000003E-2","22.49","7.2","19.84","295"
"MCJ","40681","0.36736111111111103",NA,NA,NA,NA,NA,"BDL","7.9000000000000001E-2","68.55","2.0699999999999998","43.43","134"
"Bear","40682","0.39236111111111099",NA,NA,NA,NA,NA,"5.6","0.14699999999999999","10.63","7.81","14.5","6131"
"Blue","40682","0.43402777777777801",NA,NA,NA,NA,NA,"2","7.0000000000000007E-2","15.3","5.97","15.17","134"
"Morgan","40682","0.375694444444444",NA,NA,NA,NA,NA,"4","7.0000000000000007E-2","20.09","6.28","19.809999999999999","311"
"Mud","40682","0.46041666666666697",NA,NA,NA,NA,NA,"6","0.191","10.92","8.8800000000000008","18.579999999999998","292"
"NBear","40682","0.484027777777778",NA,NA,NA,NA,NA,"2.4","0.02","11.93","10.55","13","209"
"Otter","40682","0.41180555555555598",NA,NA,NA,NA,NA,"1.6","0.04","13.51","5.82","14.77","315"
"Lime","40686","0.45069444444444401",NA,NA,NA,NA,NA,"0.4","3.4000000000000002E-2","12.67","9.01","11.43","NA"
"Lime240","40686","0.38888888888888901",NA,NA,NA,NA,NA,"3.6","0.03","16.71","10.57","10.73","84"
"Lime250","40686","0.40208333333333302",NA,NA,NA,NA,NA,"3.2","3.7999999999999999E-2","15.06","10.46","10.199999999999999","NA"
"Lime290","40686","0.41666666666666702",NA,NA,NA,NA,NA,"1.6","2.5999999999999999E-2","13.66","11.13","10.25","NA"
"LimeFin","40686","0.43888888888888899",NA,NA,NA,NA,NA,"0.8","1.2999999999999999E-2","12.88","9.6300000000000008","10.77","NA"
"LimeHam","40686","0.42569444444444399",NA,NA,NA,NA,NA,"2","3.5000000000000003E-2","12.61","14.04","9.14","262"
"Dry","40688","0.46041666666666697",NA,NA,NA,NA,NA,"168","0.23300000000000001","6.09","2.78","7.33","1401"
"ICLM","40688","0.44513888888888897",NA,NA,NA,NA,NA,"522","0.497","10.44","7","19.89","4106"
"ICS","40688","0.40763888888888899",NA,NA,NA,NA,NA,"158","0.158","14.95","1.27","9.7799999999999994","410"
"ICThom","40688","0.42499999999999999",NA,NA,NA,NA,NA,"234","0.25900000000000001","5.49","2.7","7.7","1722"
"MCJ","40688","0.38055555555555598",NA,NA,NA,NA,NA,"46","0.16700000000000001","23.66","BDL","8.18","591"
"Bear","40689","0.37152777777777801",NA,NA,NA,NA,NA,"129.33000000000001","0.313","8.5399999999999991","12.33","10.85","7270"
"Blue","40689","0.42777777777777798",NA,NA,NA,NA,NA,"19","0.123","16.27","9.34","12.22","3784"
"Morgan","40689","0.35486111111111102",NA,NA,NA,NA,NA,"65.599999999999994","0.214","19.38","10.91","15.42","1616"
"Mud","40689","0.45069444444444401",NA,NA,NA,NA,NA,"57","0.19900000000000001","9.41","11.91","13.9","2723"
"NBear","40689","0.47013888888888899",NA,NA,NA,NA,NA,"27","0.13400000000000001","12.36","16.690000000000001","9.1199999999999992","7215"
"Otter","40689","0.405555555555556",NA,NA,NA,NA,NA,"52","0.23200000000000001","12.7","14.08","9.66","2603"
"Lime","40694","0.48263888888888901",NA,NA,NA,NA,NA,"8","0.22","17.3","14.95","11.64","789"
"Lime240","40694","0.41458333333333303",NA,NA,NA,NA,NA,"9.1999999999999993","0.182","19.98","14.52","11.52","512"
"Lime250","40694","0.42708333333333298",NA,NA,NA,NA,NA,"6.8","0.161","19.02","14.6","11.28","594"
"Lime290","40694","0.44305555555555598",NA,NA,NA,NA,NA,"5.6","0.192","18.079999999999998","16.7","10.97","459"
"LimeFin","40694","0.46666666666666701",NA,NA,NA,NA,NA,"10.8","0.20200000000000001","17.43","15.66","11.25","2143"
"LimeHam","40694","0.452777777777778",NA,NA,NA,NA,NA,"9.6","0.183","16.25","20.260000000000002","9.32","201"
"Dry","40695","0.45694444444444399",NA,NA,NA,NA,NA,"27.2","0.20899999999999999","27.14","9.2200000000000006","20.13","388"
"ICLM","40695","0.43888888888888899",NA,NA,NA,NA,NA,"19.2","0.105","21.09","12.39","17.27","1250"
"ICS","40695","0.42013888888888901",NA,NA,NA,NA,NA,"16","0.16400000000000001","28","9.3699999999999992","19.64","441"
"ICThom","40695","0.46736111111111101",NA,NA,NA,NA,NA,"15.2","0.154","25.37","10.66","19.18","749"
"MCJ","40695","0.39236111111111099",NA,NA,NA,NA,NA,"2.4","7.5999999999999998E-2","67.760000000000005","2.71","42.91","464"
"Bear","40696","0.38888888888888901",NA,NA,NA,NA,NA,"50","0.14000000000000001","13.15","9.68","16.53","785"
"Blue","40696","0.43194444444444402",NA,NA,NA,NA,NA,"7.5","0.11899999999999999","17.690000000000001","7.54","16.239999999999998","598"
"Morgan","40696","0.36805555555555602",NA,NA,NA,NA,NA,"147","0.11899999999999999","25.19","7.06","22.92","2014"
"Mud","40696","0.45486111111111099",NA,NA,NA,NA,NA,"34","0.16","14.18","9.94","19.8","473"
"NBear","40696","0.47361111111111098",NA,NA,NA,NA,NA,"10.8","7.3999999999999996E-2","16.190000000000001","13.39","14.9","457"
"Otter","40696","0.40763888888888899",NA,NA,NA,NA,NA,"24","0.109","16.75","8.98","15.65","1187"
"Lime","40697","0.43055555555555602",NA,NA,NA,NA,NA,"6.4","6.5000000000000002E-2","16.95","13.99","12.34","988"
"Lime240","40697","0.38124999999999998",NA,NA,NA,NA,NA,"7.6","3.6999999999999998E-2","20.56","14.2","12.52","987"
"Lime250","40697","0.38888888888888901",NA,NA,NA,NA,NA,"3.2","4.5999999999999999E-2","18.5","14.03","11.46","1014"
"Lime290","40697","0.40625",NA,NA,NA,NA,NA,"6.8","5.1999999999999998E-2","16.43","19.116","11.4","379"
"LimeFin","40697","0.44097222222222199",NA,NA,NA,NA,NA,"3.6","5.2999999999999999E-2","17.03","14.79","11.91","631"
"LimeHam","40697","0.41666666666666702",NA,NA,NA,NA,NA,"4.4000000000000004","4.3999999999999997E-2","16.93","23.925000000000001","10.130000000000001","98"
"Dry","40700","0.421527777777778",NA,NA,NA,NA,NA,"8.4","0.188","29.69","6.91","21.88","583"
"ICLM","40700","0.43333333333333302",NA,NA,NA,NA,NA,"33.200000000000003","0.13100000000000001","20.91","10.85","18.510000000000002","5475"
"ICS","40700","0.45624999999999999",NA,NA,NA,NA,NA,"11.2","0.16600000000000001","29.98","7.17","22.62","264"
"ICThom","40700","0.41111111111111098",NA,NA,NA,NA,NA,"22.8","0.16","25.4","8.91","20.8","2064"
"MCJ","40700","0.39444444444444399",NA,NA,NA,NA,NA,"0.4","0.08","67.05","3.07","43.98","712"
"Lime","40702","0.4375",NA,NA,NA,NA,NA,"5.2","7.3999999999999996E-2","16.899999999999999","12.14","13.91","1236"
"Lime240","40702","0.37847222222222199",NA,NA,NA,NA,NA,"8","4.2999999999999997E-2","18.95","13.12","12.49","1450"
"Lime250","40702","0.38888888888888901",NA,NA,NA,NA,NA,"1.6","4.8000000000000001E-2","17.510000000000002","15","12.28","1450"
"Lime290","40702","0.41319444444444398",NA,NA,NA,NA,NA,"7.6","5.2999999999999999E-2","16.25","14.67","12.83","3448"
"LimeFin","40702","0.44930555555555601",NA,NA,NA,NA,NA,"0.4","5.3999999999999999E-2","16.7","12.9","13.07","1354"
"LimeHam","40702","0.420833333333333",NA,NA,NA,NA,NA,"1.2","5.0999999999999997E-2","16.02","18.690000000000001","10.83","521"
"Bear","40703","0.389583333333333",NA,NA,NA,NA,NA,"156","0.30299999999999999","10.7","7.53","13.04","24196"
"Blue","40703","0.42847222222222198",NA,NA,NA,NA,NA,"18.8","0.17599999999999999","16.829999999999998","5.91","16.57","12997"
"Morgan","40703","0.375694444444444",NA,NA,NA,NA,NA,"33.6","0.14399999999999999","20.84","6.17","21.14","8664"
"Mud","40703","0.44513888888888897",NA,NA,NA,NA,NA,"26.8","0.253","14.68","9.2100000000000009","20.64","2359"
"NBear","40703","0.46250000000000002",NA,NA,NA,NA,NA,"90","0.30299999999999999","13.8","12.97","11.61","4611"
"Otter","40703","0.40833333333333299",NA,NA,NA,NA,NA,"111.2","0.31900000000000001","13.5","6.9","12.57","8164"
"Dry","40707","0.41319444444444398",NA,NA,NA,NA,NA,"39.6","0.23599999999999999","20.3","15.36","14.65","880"
"ICLM","40707","0.42499999999999999",NA,NA,NA,NA,NA,"44.8","0.14199999999999999","20.74","17.63","15.03","1376"
"ICS","40707","0.452777777777778",NA,NA,NA,NA,NA,"52.4","0.22800000000000001","22.99","15.23","16.559999999999999","1220"
"ICThom","40707","0.40486111111111101",NA,NA,NA,NA,NA,"49.2","0.186","21.08","16.39","15.68","990"
"MCJ","40707","0.38680555555555601",NA,NA,NA,NA,NA,"0.4","8.4000000000000005E-2","72.260000000000005","2.8","45.23","836"
"Bear","40708","0.43055555555555602",NA,NA,NA,NA,NA,"51.2","0.17599999999999999","12.57","11.39","14.62","794"
"Blue","40708","0.468055555555556",NA,NA,NA,NA,NA,"22.8","0.13","17.14","10.48","13.85","959"
"Morgan","40708","0.41527777777777802",NA,NA,NA,NA,NA,"17.600000000000001","0.13","19.940000000000001","9.76","22.42","1236"
"Mud","40708","0.48888888888888898",NA,NA,NA,NA,NA,"50.8","0.20200000000000001","12.7","11.77","17.48","364"
"NBear","40708","0.50624999999999998",NA,NA,NA,NA,NA,"22.4","0.10199999999999999","15.78","17.55","12.1","556"
